id_predio,nombre,categoria,Latitud,Longitud,tipo_amenidad
84981,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84981,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
84981,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
84981,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84981,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
84981,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
84981,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
84981,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
84981,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
84981,MARISQURIA COSTAMAR,Restaurantes con servicio de preparación de pescados y mariscos,19.36994399,-99.14186087,Premium
84982,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84982,COSMETIMODA,Comercio al por menor de artículos de perfumería y cosméticos,19.36253617,-99.14306501,Premium
84982,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
84982,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
84982,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84982,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
84982,TIENDA DE ROPA NIÑO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37024988,-99.14125534,Premium
84982,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
84982,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
84982,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
84983,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84983,COSMETIMODA,Comercio al por menor de artículos de perfumería y cosméticos,19.36253617,-99.14306501,Premium
84983,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
84983,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
84983,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84983,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
84983,TIENDA DE ROPA NIÑO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37024988,-99.14125534,Premium
84983,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
84983,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
84983,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85468,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85468,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85468,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85468,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85468,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85468,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85468,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85468,OSTIONERIA EL PUERTO,Restaurantes con servicio de preparación de pescados y mariscos,19.36265232,-99.1425159,Premium
85469,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85469,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85469,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85469,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85469,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85469,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85469,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85469,OSTIONERIA EL PUERTO,Restaurantes con servicio de preparación de pescados y mariscos,19.36265232,-99.1425159,Premium
85470,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85470,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85470,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85470,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85470,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
85470,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85470,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
85470,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85470,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85470,OSTIONERIA EL PUERTO,Restaurantes con servicio de preparación de pescados y mariscos,19.36265232,-99.1425159,Premium
85475,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85475,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85475,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85475,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85475,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85475,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85474,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85474,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85474,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85474,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85474,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
85474,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85474,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
85474,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85474,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85495,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85495,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85495,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85495,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85495,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
85495,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85495,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
85495,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85495,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85473,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85473,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85473,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85473,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85473,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
85473,TIENDA DE ROPA NIÑO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37024988,-99.14125534,Premium
85473,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85473,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
85473,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85473,MARISQUERIA CITLALI,Restaurantes con servicio de preparación de pescados y mariscos,19.37005297,-99.14121161,Premium
85011,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85011,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
85011,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
85011,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
85011,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
85011,TIENDA DE ROPA NIÑO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37024988,-99.14125534,Premium
85011,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
85011,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
85011,MARISCOS LA UDA,Restaurantes con servicio de preparación de pescados y mariscos,19.36889375,-99.1388984,Premium
85011,MARISCOS POSEIDON,Restaurantes con servicio de preparación de pescados y mariscos,19.3703221,-99.14124388,Premium
84980,BOUTIQUE MARCELA,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84980,EVA KEY CDMX,Comercio al por menor de artículos de perfumería y cosméticos,19.36888471,-99.14284233,Premium
84980,PERFUMERIA CLICHE ESSENCE,Comercio al por menor de artículos de perfumería y cosméticos,19.3627804,-99.14206046,Premium
84980,ROPA VARIOS,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36649151,-99.14185743,Premium
84980,ROPA Y CALZADO RODRIGO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37014095,-99.14127264,Premium
84980,TIENDA DE ROPA NIÑO,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37024988,-99.14125534,Premium
84980,UNIFORMES MONT BLANC,"Comercio al por menor de ropa, excepto de bebé y lencería",19.36308856,-99.14243516,Premium
84980,VENTA DE ROPA SIN NOMBRE,"Comercio al por menor de ropa, excepto de bebé y lencería",19.37011669,-99.14127435,Premium
